id;uom;code;qudt_unit;label;procedure;glosis;definition;;;;;;;;;;122
199;codelist;;;"""natuforkm2 - Fisografia alla scala di percezione chilometrica""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#natuforkm2;;;;;;;;;;
200;string;;;"""nome_azienda - Nome della azienda agricola, conduttore o proprietario del sito. Dato sensibile GDPR""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#nome_azienda;;;;;;;;;;
201;string;;;"""nome_sito - Nome della località del sito. Usare toponimi prossimi all'appezzamento (SoilPlot) rilevato. Dato non sensibile GDPR""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#nome_sito;;;;;;;;;;
202;{count};Count;COUNT;"""numero_osservazione - Numero dell'osservazione""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#numero_osservazione;;;;;;;;;;
203;%;cm/m;PERCENT;"""pendenza - Pendenza della stazione %""";https://zenodo.org/records/7589089;http://w3id.org/glosis/model/siteplot/SlopeGradientNumeric;https://zenodo.org/records/7589089#pendenza;;;;;;;;;;
204;%;dm2/m2;;"""pietrosita_grande - Pietrosità grande della stazione: abbondanza in %""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pietrosita_grande;;;;;;;;;;
205;%;dm2/m2;;"""pietrosita_media - Pietrosità media della stazione: abbondanza in %""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pietrosita_media;;;;;;;;;;
206;%;dm2/m2;;"""pietrosita_piccola - Pietrosità piccola della stazione: abbondanza in %""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pietrosita_piccola;;;;;;;;;;
207;%;dm2/m2;;"""pietrosita_totale - Pietrosità totale""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pietrosita_totale;;;;;;;;;;
208;codelist;;;"""pm_compos - Composizione granulometrica del materiale genitore (parent material)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pm_compos;;;;;;;;;;
209;codelist;;;"""pm_origine - Origine del materiale genitore (parent material)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pm_origine;;;;;;;;;;
210;codelist;;;"""pm_qual_min - Qualità dei materiali minerale (parent material)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#pm_qual_min;;;;;;;;;;
211;codelist;;;"""poly_geo_sst - codice del poligono del sottositema di terre di appartenenza del profilo (attribuzione geografica)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#poly_geo_sst;;;;;;;;;;
212;codelist;;;"""poly_geo_st - codice del poligono del Sistema di terre di appartenenza del profilo (attribuzione geografica)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#poly_geo_st;;;;;;;;;;
213;codelist;;;"""poly_geo_ut - codice del poligono dell'unità di terre di appartenenza del profilo (attribuzione geografica)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#poly_geo_ut;;;;;;;;;;
214;codelist;;;"""prof_der - si, se si tratta di profilo derivato (media di altri); no, se è un profilo reale""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#prof_der;;;;;;;;;;
215;cm;cm;CentiM;"""prof_roccia - Indica la profondità in cm dell’orizzonte R inteso come roccia""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#prof_roccia;;;;;;;;;;
216;cm;cm;CentiM;"""prof_utile - Profondità utile alle radici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#prof_utile;;;;;;;;;;
217;codelist;;;"""prof_utile_lim - Limite all'approfondimento radicale""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#prof_utile_lim;;;;;;;;;;
218;codelist;;;"""provincia - Codice della Provincia ove avviene il rilevamento""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#provincia;;;;;;;;;;
219;codelist;;;"""qual_min - Qualità dei materiali minerale (materiale non consolidato)""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#qual_min;;;;;;;;;;
220;codelist;;;"""qual_org - Qualità dei materiali organici""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#qual_org;;;;;;;;;;
221;m;m;M;"""quota_mslm - Quota in metri sul livello del mare della stazione""";https://zenodo.org/records/7589089;http://w3id.org/glosis/model/siteplot/altitude;https://zenodo.org/records/7589089#quota_mslm;;;;;;;;;;
222;codelist;;;"""relaz_par_mat_subst - Relazione tra materiale genitore (Parent Material) e Substrato""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#relaz_par_mat_subst;;;;;;;;;;
223;codelist;;;"""rilevatore_1 - Codice del rilevatore""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#rilevatore_1;;;;;;;;;;
224;codelist;;;"""rilevatore_2 - Codice del secondo rilevatore""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#rilevatore_2;;;;;;;;;;
225;%;dm2/m2;;"""rocciosita - Rocciosità della stazione in % di superficie occupata""";https://zenodo.org/records/7589089;;https://zenodo.org/records/7589089#rocciosita;;;;;;;;;;
