fid,Reference,Section,uom,code,qudt_unit,label,procedure,glosis_cl,definition,
85,Layer descriptions$CH$5,Second-level structure - Type 1.2,%,daL/m3,,"Abundance of type 1.2, by volume [%] - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CH$5,
86,Layer descriptions$CI$5,Second-level structure - Type 1.2,,,,"Grade - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1843,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CI$5,
87,Layer descriptions$CJ$5,Second-level structure - Type 1.2,,,,"Penetrability for roots - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1844,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CJ$5,
88,Layer descriptions$CK$5,Second-level structure - Type 1.2,codelist,,,"Size class 1 - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CK$5,
89,Layer descriptions$CL$5,Second-level structure - Type 1.2,codelist,,,"Size class 2 - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CL$5,
90,Layer descriptions$CM$5,Second-level structure - Type 1.2,%,daL/m3,,"Abundance of size class 1, by volume [%] - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CM$5,
91,Layer descriptions$CN$5,Second-level structure - Type 1.2,%,daL/m3,,"Abundance of size class 2, by volume [%] - Second-level structure - Type 1.2",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CN$5,
92,Layer descriptions$CO$5,Third-level structure - Type 1.1.1,,,,"Type - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1841,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CO$5,
93,Layer descriptions$CP$5,Third-level structure - Type 1.1.1,%,daL/m3,,"Abundance of type 1.1.1, by volume [%] - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CP$5,
94,Layer descriptions$CQ$5,Third-level structure - Type 1.1.1,,,,"Grade - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1843,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CQ$5,
95,Layer descriptions$CR$5,Third-level structure - Type 1.1.1,,,,"Penetrability for roots - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1844,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CR$5,
96,Layer descriptions$CS$5,Third-level structure - Type 1.1.1,codelist,,,"Size class 1 - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CS$5,
97,Layer descriptions$CT$5,Third-level structure - Type 1.1.1,codelist,,,"Size class 2 - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1845,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CT$5,
98,Layer descriptions$CU$5,Third-level structure - Type 1.1.1,%,daL/m3,,"Abundance of size class 1, by volume [%] - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CU$5,
99,Layer descriptions$CV$5,Third-level structure - Type 1.1.1,%,daL/m3,,"Abundance of size class 2, by volume [%] - Third-level structure - Type 1.1.1",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CV$5,
100,Layer descriptions$CW$3,Chapter 8.4.10,%,daL/m3,,"Wedge-shaped aggregates abundance, by volume [%] - Chapter 8.4.10",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CW$3,
101,Layer descriptions$CX$4,Non-matrix pores,,,,"Type - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1846,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CX$4,
102,Layer descriptions$CY$4,Non-matrix pores,codelist,,,"Dominant size class - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1847,http://w3id.org/glosis/model/layerhorizon/PoresSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CY$4,
103,Layer descriptions$CZ$4,Non-matrix pores,,,,"Abundance - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1848,http://w3id.org/glosis/model/layerhorizon/PoresAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$CZ$4,
104,Layer descriptions$DA$3,Non-matrix pores,,,,"Type 2 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1846,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DA$3,
105,Layer descriptions$DB$4,Non-matrix pores,codelist,,,"Dominant size class 2 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1847,http://w3id.org/glosis/model/layerhorizon/PoresSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DB$4,
106,Layer descriptions$DC$4,Non-matrix pores,,,,"Abundance 2 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1848,http://w3id.org/glosis/model/layerhorizon/PoresAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DC$4,
107,Layer descriptions$DD$3,Non-matrix pores,,,,"Type 3 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1846,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DD$3,
108,Layer descriptions$DE$4,Non-matrix pores,codelist,,,"Dominant size class 3 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1847,http://w3id.org/glosis/model/layerhorizon/PoresSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DE$4,
109,Layer descriptions$DF$4,Non-matrix pores,,,,"Abundance 3 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1848,http://w3id.org/glosis/model/layerhorizon/PoresAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DF$4,
110,Layer descriptions$DG$3,Non-matrix pores,,,,"Type 4 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1846,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DG$3,
111,Layer descriptions$DH$4,Non-matrix pores,codelist,,,"Dominant size class 4 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1847,http://w3id.org/glosis/model/layerhorizon/PoresSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DH$4,
112,Layer descriptions$DI$4,Non-matrix pores,,,,"Abundance 4 - Non-matrix pores",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1848,http://w3id.org/glosis/model/layerhorizon/PoresAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DI$4,
113,Layer descriptions$DJ$3,Cracks,,,,"Persistence - Cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1849,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DJ$3,
114,Layer descriptions$DK$3,Cracks,,,,"Continuity - Cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1850,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DK$3,
115,Layer descriptions$DL$3,Cracks,mm,mm,MilliM,"Average width [mm] - Cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8413-w,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DL$3,
116,Layer descriptions$DM$3,Cracks,number,{count},,"Abundance [number of cracks] - Cracks",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8413-w,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DM$3,
117,Layer descriptions$DN$3,Stress features,%,dm2/m2,,"Abundance of pressure faces [%, see 8.4.14] - Stress features",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8414,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DN$3,
118,Layer descriptions$DO$3,Stress features,%,dm2/m2,,"Abundance of slickensides [%, see 8.4.14] - Stress features",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8414,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DO$3,
119,Layer descriptions$DP$4,Matrix colour - Colour 1 (dominant),,,,"Munsell moist - Matrix colour - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DP$4,
120,Layer descriptions$DQ$4,Matrix colour - Colour 1 (dominant),,,,"Munsell dry - Matrix colour - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DQ$4,
121,Layer descriptions$DR$4,Matrix colour - Colour 1 (dominant),%,dm2/m2,,"Exposed area [%] - Matrix colour - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DR$4,
122,Layer descriptions$DS$4,Matrix colour - Colour 2,,,,"Munsell moist - Matrix colour - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DS$4,
123,Layer descriptions$DT$4,Matrix colour - Colour 2,,,,"Munsell dry - Matrix colour - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DT$4,
124,Layer descriptions$DU$4,Matrix colour - Colour 2,%,dm2/m2,,"Exposed area [%] - Matrix colour - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DU$4,
125,Layer descriptions$DV$4,Matrix colour - Colour 3,,,,"Munsell moist - Matrix colour - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DV$4,
126,Layer descriptions$DW$4,Matrix colour - Colour 3,,,,"Munsell dry - Matrix colour - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DW$4,
127,Layer descriptions$DX$4,Matrix colour - Colour 3,%,dm2/m2,,"Exposed area [%] - Matrix colour - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DX$4,
128,Layer descriptions$DY$3,"Combinations of darker-coloured finer-textured and lighter-coloured coarser-textured parts",%,dm2/m2,,"Coarser-textured [%] - Combinations of darker-coloured finer-textured",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DY$3,
129,Layer descriptions$DZ$3,"Combinations of darker-coloured finer-textured and lighter-coloured coarser-textured parts",%,dm2/m2,,"Continuous vertical tongues [%] - Combinations of darker-coloured finer-textured",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$DZ$3,
130,Layer descriptions$EA$3,"Combinations of darker-coloured finer-textured and lighter-coloured coarser-textured parts",cm,cm,CentiM,"Depth range, where tongues cover ≥ 10% of the exposed area [cm] - Combinations of darker-coloured finer-textured",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EA$3,
131,Layer descriptions$EB$3,"Combinations of darker-coloured finer-textured and lighter-coloured coarser-textured parts",%,dm2/m2,,"Horizontal area covered [%] - Combinations of darker-coloured finer-textured",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EB$3,
132,Layer descriptions$EC$4,Lithogenic variegates - Colour 1 (dominant),,,,"Munsell moist - Lithogenic variegates - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EC$4,
133,Layer descriptions$ED$4,Lithogenic variegates - Colour 1 (dominant),codelist,,,"Size class - Lithogenic variegates - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$ED$4,
134,Layer descriptions$EE$4,Lithogenic variegates - Colour 1 (dominant),%,dm2/m2,,"Exposed area [%] - Lithogenic variegates - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EE$4,
135,Layer descriptions$EF$4,Lithogenic variegates - Colour 2,,,,"Munsell moist - Lithogenic variegates - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EF$4,
136,Layer descriptions$EG$4,Lithogenic variegates - Colour 2,codelist,,,"Size class - Lithogenic variegates - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EG$4,
137,Layer descriptions$EH$4,Lithogenic variegates - Colour 2,%,dm2/m2,,"Exposed area [%] - Lithogenic variegates - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EH$4,
138,Layer descriptions$EI$4,Lithogenic variegates - Colour 3,,,,"Munsell moist - Lithogenic variegates - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EI$4,
139,Layer descriptions$EJ$4,Lithogenic variegates - Colour 3,codelist,,,"Size class - Lithogenic variegates - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EJ$4,
140,Layer descriptions$EK$4,Lithogenic variegates - Colour 3,%,dm2/m2,,"Exposed area [%] - Lithogenic variegates - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EK$4,
141,Layer descriptions$EL$4,Redoximorphic features - Colour 1 (dominant),,,,"Munsell moist - Redoximorphic features - Colour 1",,http://w3id.org/glosis/model/layerhorizon/MottlesColour,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EL$4,
142,Layer descriptions$EM$4,Redoximorphic features - Colour 1 (dominant),,,,"Munsell dry (only if reducti- morphic) - Redoximorphic features - Colour 1",,http://w3id.org/glosis/model/layerhorizon/MottlesColour,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EM$4,
143,Layer descriptions$EN$4,Redoximorphic features - Colour 1 (dominant),,,,"Substance - Redoximorphic features - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EN$4,
144,Layer descriptions$EO$4,Redoximorphic features - Colour 1 (dominant),,,,"Location - Redoximorphic features - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EO$4,
145,Layer descriptions$EP$4,Redoximorphic features - Colour 1 (dominant),mm,mm,MilliM,"Size class 1 (dominant) (mm) - Redoximorphic features - Colour 1",,http://w3id.org/glosis/model/layerhorizon/MottlesSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EP$4,
146,Layer descriptions$EQ$4,Redoximorphic features - Colour 1 (dominant),mm,mm,MilliM,"Size class 2 [mm] - Redoximorphic features - Colour 1",,http://w3id.org/glosis/model/layerhorizon/MottlesSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EQ$4,
147,Layer descriptions$ER$4,Redoximorphic features - Colour 1 (dominant),codelist,,,"Cementation class - Redoximorphic features - Colour 1",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$ER$4,
148,Layer descriptions$ES$4,Redoximorphic features - Colour 1 (dominant),%,dm2/m2,,"Exposed area [%] - Redoximorphic features - Colour 1",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$ES$4,
149,Layer descriptions$ET$4,Redoximorphic features - Colour 2,,,,"Munsell moist - Redoximorphic features - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$ET$4,
150,Layer descriptions$EU$4,Redoximorphic features - Colour 2,,,,"Munsell dry (only if reducti- morphic) - Redoximorphic features - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EU$4,
151,Layer descriptions$EV$4,Redoximorphic features - Colour 2,,,,"Substance - Redoximorphic features - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EV$4,
152,Layer descriptions$EW$4,Redoximorphic features - Colour 2,,,,"Location - Redoximorphic features - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EW$4,
153,Layer descriptions$EX$4,Redoximorphic features - Colour 2,mm,mm,MilliM,"Size class 1 (dominant) (mm) - Redoximorphic features - Colour 2",,http://w3id.org/glosis/model/layerhorizon/MottlesSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EX$4,
154,Layer descriptions$EY$4,Redoximorphic features - Colour 2,mm,mm,MilliM,"Size class 2 [mm] - Redoximorphic features - Colour 2",,http://w3id.org/glosis/model/layerhorizon/MottlesSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EY$4,
155,Layer descriptions$EZ$4,Redoximorphic features - Colour 2,codelist,,,"Cementation class - Redoximorphic features - Colour 2",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$EZ$4,
156,Layer descriptions$FA$4,Redoximorphic features - Colour 2,%,dm2/m2,,"Exposed area [%] - Redoximorphic features - Colour 2",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FA$4,
157,Layer descriptions$FB$4,Redoximorphic features - Colour 3,,,,"Munsell moist - Redoximorphic features - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FB$4,
158,Layer descriptions$FC$4,Redoximorphic features - Colour 3,,,,"Munsell dry (only if reducti- morphic) - Redoximorphic features - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FC$4,
159,Layer descriptions$FD$4,Redoximorphic features - Colour 3,,,,"Substance - Redoximorphic features - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FD$4,
160,Layer descriptions$FE$4,Redoximorphic features - Colour 3,,,,"Location - Redoximorphic features - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FE$4,
161,Layer descriptions$FF$4,Redoximorphic features - Colour 3,mm,mm,MilliM,"Size class 1 (dominant) (mm) - Redoximorphic features - Colour 3",,http://w3id.org/glosis/model/layerhorizon/MottlesSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FF$4,
162,Layer descriptions$FG$4,Redoximorphic features - Colour 3,mm,mm,MilliM,"Size class 2 [mm] - Redoximorphic features - Colour 3",,http://w3id.org/glosis/model/layerhorizon/MottlesSize,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FG$4,
163,Layer descriptions$FH$4,Redoximorphic features - Colour 3,codelist,,,"Cementation class - Redoximorphic features - Colour 3",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FH$4,
164,Layer descriptions$FI$4,Redoximorphic features - Colour 3,%,dm2/m2,,"Exposed area [%] - Redoximorphic features - Colour 3",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FI$4,
165,Layer descriptions$FJ$4,"Total abundance, by exposed area[%]",,,,"oxi- morphic: inner - Total abundance, by exposed area",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FJ$4,
166,Layer descriptions$FK$4,"Total abundance, by exposed area[%]",,,,"oxi- morphic: outer - Total abundance, by exposed area",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FK$4,
167,Layer descriptions$FL$4,"Total abundance, by exposed area[%]",,,,"oxi- morphic: random - Total abundance, by exposed area",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FL$4,
168,Layer descriptions$FM$4,"Total abundance, by exposed area[%]",,,,"reducti- morphic: inner - Total abundance, by exposed area",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FM$4,
169,Layer descriptions$FN$4,"Total abundance, by exposed area[%]",,,,"reducti- morphic: outer - Total abundance, by exposed area",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FN$4,
170,Layer descriptions$FO$4,"Total abundance, by exposed area[%]",,,,"reducti- morphic: random - Total abundance, by exposed area",,http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FO$4,
171,Layer descriptions$FP$3,Chapter 8.4.20,%,daL/m3,,"Abundance of cemented oximorphic features, by volume [%] - Chapter 8.4.20",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FP$3,
172,Layer descriptions$FQ$2,Chapter 8.4.21,,,,"rH value - Chapter 8.4.21",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FQ$2,
173,Layer descriptions$FR$3,Initial weathering,%,dm2/m2,,"Abundance, by exposed area [%]  - Initial weathering",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FR$3,
174,Layer descriptions$FS$3,Coatings and bridges,%,dm2/m2,,"Abundance of clay coatings [%, see 8.4.23] - Coatings and bridges",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FS$3,
175,Layer descriptions$FT$3,Coatings and bridges,%,dm2/m2,,"Abundance of clay bridges [%] - Coatings and bridges",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FT$3,
176,Layer descriptions$FU$3,Chapter 8.4.23,,,,"Organic matter coatings and oxide coatings - Chapter 8.4.23",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FU$3,
177,Layer descriptions$FV$3,Chapter 8.4.23,%,dm2/m2,,"Abundance of cracked coatings [%] - Chapter 8.4.23",,https://glosis-ld.github.io/glosis/glosis_layer_horizon/index-en.html#/CoatingAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FV$3,
178,Layer descriptions$FW$3,Chapter 8.4.23,%,dm2/m2,,"Abundance of uncoated sand and coarse silt grains [%] - Chapter 8.4.23",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FW$3,
179,Layer descriptions$FX$3,Ribbon-like accumulations,,,,"Substance(s) - Ribbon-like accumulations",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FX$3,
180,Layer descriptions$FY$3,Ribbon-like accumulations,,,,"Number - Ribbon-like accumulations",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FY$3,
181,Layer descriptions$FZ$3,Ribbon-like accumulations,cm,cm,CentiM,"Combined thickness [cm] - Ribbon-like accumulations",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$FZ$3,
