fid,Reference,Section,uom,code,qudt_unit,label,procedure,glosis_cl,definition,
238,Layer descriptions$IE$4,"Natural accumulations 
of organic matter",codelist,,,"Type 3 - Natural accumulations 
of organic matter",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IE$4,
239,Layer descriptions$IF$4,"Natural accumulations 
of organic matter",%,dm2/m2,,"Abundance type 1, by exposed area [%] - Natural accumulations 
of organic matter",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IF$4,
240,Layer descriptions$IG$4,"Natural accumulations 
of organic matter",%,dm2/m2,,"Abundance type 2, by exposed area [%] - Natural accumulations 
of organic matter",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IG$4,
241,Layer descriptions$IH$4,"Natural accumulations 
of organic matter",%,dm2/m2,,"Abundance type 3, by exposed area [%] - Natural accumulations 
of organic matter",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IH$4,
242,Layer descriptions$II$3,Chapter 8.4.36,%,dm2/m2,,"Black carbon, by exposed area [%, see 8.4.36] - Chapter 8.4.36",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$II$3,
243,Layer descriptions$IJ$3,Roots,codelist,,,"Abundance of roots ≤ 2 mm - Roots",,http://w3id.org/glosis/model/layerhorizon/RootsAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IJ$3,
244,Layer descriptions$IK$3,Roots,codelist,,,"Abundance of roots > 2 mm - Roots",,http://w3id.org/glosis/model/layerhorizon/RootsAbundance,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IK$3,
245,Layer descriptions$IL$3,Results of animal activity,codelist,,,"Type 1 - Results of animal activity",,"http://w3id.org/glosis/model/layerhorizon/BiologicalFeatures
",https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IL$3,
246,Layer descriptions$IM$3,Results of animal activity,codelist,,,"Type 2 - Results of animal activity",,"http://w3id.org/glosis/model/layerhorizon/BiologicalFeatures
",https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IM$3,
247,Layer descriptions$IN$3,Results of animal activity,codelist,,,"Type 3 - Results of animal activity",,"http://w3id.org/glosis/model/layerhorizon/BiologicalFeatures
",https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IN$3,
248,Layer descriptions$IO$3,Results of animal activity,codelist,,,"Type 4 - Results of animal activity",,"http://w3id.org/glosis/model/layerhorizon/BiologicalFeatures
",https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IO$3,
249,Layer descriptions$IP$3,Results of animal activity,codelist,,,"Type 5 - Results of animal activity",,"http://w3id.org/glosis/model/layerhorizon/BiologicalFeatures
",https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IP$3,
250,Layer descriptions$IQ$3,Results of animal activity,%,dm2/m2,,"Mammal activity, by exposed area [%] - Results of animal activity",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IQ$3,
251,Layer descriptions$IR$3,Results of animal activity,%,dm2/m2,,"Bird activity, by exposed area [%] - Results of animal activity",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IR$3,
252,Layer descriptions$IS$3,Results of animal activity,%,dm2/m2,,"Worm activity, 
by exposed area [%] - Results of animal activity",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IS$3,
253,Layer descriptions$IT$3,Results of animal activity,%,dm2/m2,,"Insect activity, by exposed area [%] - Results of animal activity",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IT$3,
254,Layer descriptions$IU$3,Results of animal activity,%,dm2/m2,,"Unspecified activity, by exposed area [%] - Results of animal activity",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IU$3,
255,Layer descriptions$IV$4,"Additions of human-transported 
natural material",codelist,,,"Material 1 (dominant) - Additions of human-transported 
natural material",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IV$4,
256,Layer descriptions$IW$4,"Additions of human-transported 
natural material",codelist,,,"Material 2 - Additions of human-transported 
natural material",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IW$4,
257,Layer descriptions$IX$4,"Additions of human-transported 
natural material",codelist,,,"Material 3 - Additions of human-transported 
natural material",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IX$4,
258,Layer descriptions$IY$4,"Additions of human-transported 
natural material",%,daL/m3,,"Abundance material 1, by volume [%] - Additions of human-transported 
natural material",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IY$4,
259,Layer descriptions$IZ$4,"Additions of human-transported 
natural material",%,daL/m3,,"Abundance material 2, by volume [%] - Additions of human-transported 
natural material",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$IZ$4,
260,Layer descriptions$JA$4,"Additions of human-transported 
natural material",%,daL/m3,,"Abundance material 3, by volume [%] - Additions of human-transported 
natural material",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JA$4,
261,Layer descriptions$JB$4,"Additions of human-transported 
natural material",codelist,codelist,,"MS: Texture class - Additions of human-transported 
natural material",,http://w3id.org/glosis/model/layerhorizon/TextureFieldClass,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JB$4,
262,Layer descriptions$JC$4,"Additions of human-transported 
natural material",%,dag/kg,,"MS: Carbonate content - Additions of human-transported 
natural material",,https://glosis-ld.github.io/glosis/glosis_layer_horizon/index-en.html#/carbonatesContentProperty,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JC$4,
263,Layer descriptions$JD$4,"Additions of human-transported 
natural material",%,dag/kg,,"MS: Corg content - Additions of human-transported 
natural material",,http://w3id.org/glosis/model/layerhorizon/CarbonOrganicValue,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JD$4,
264,Layer descriptions$JE$4,In-situ alterations,codelist,,,"Type 1 (dominant) - In-situ alterations",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JE$4,
265,Layer descriptions$JF$4,In-situ alterations,codelist,,,"Type 2 - In-situ alterations",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JF$4,
266,Layer descriptions$JG$3,Chapter 8.4.38,,,,"Soil aggregate formation after additions or after iterations  - Chapter 8.4.38",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JG$3,
267,Layer descriptions$JH$2,Chapter 8.4.40,codelist,,,"Parent material - Chapter 8.4.40",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JH$2,
268,Layer descriptions$JI$3,Degree of decomposition in organic layers and presence of dead natural plant residues ,%,daL/m3,,"Visible plant tissues, by volume [%] - Degree of decomposition in organic layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JI$3,
269,Layer descriptions$JJ$3,Degree of decomposition in organic layers and presence of dead natural plant residues ,,,,"Subdivision of the Oa horizon - Degree of decomposition in organic layers",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JJ$3,
270,Layer descriptions$JK$4,Degree of decomposition in organic layers and presence of dead natural plant residues ,codelist,,,"Type 1 (dominant) - Degree of decomposition in organic layers",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JK$4,
271,Layer descriptions$JL$4,Degree of decomposition in organic layers and presence of dead natural plant residues ,codelist,,,"Type 2 - Degree of decomposition in organic layers",,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JL$4,
272,Layer descriptions$JM$4,Degree of decomposition in organic layers and presence of dead natural plant residues ,%,daL/m3,,"Abundance type 1, by volume [%] - Degree of decomposition in organic layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JM$4,
273,Layer descriptions$JN$4,Degree of decomposition in organic layers and presence of dead natural plant residues ,%,daL/m3,,"Abundance type 2, by volume [%] - Degree of decomposition in organic layers",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-847-a,,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JN$4,
274,Layer descriptions$JO$1,,codelist,,,"Horizon designation - Horizon and layer designations",https://obrl-soil.github.io/wrbsoil2022/annex-03-horizon-layer-designations.html,http://w3id.org/glosis/model/layerhorizon/GL_Horizon,https://wrb.isric.org/files/WRB_4th_edition_Soil_description_sheet_v1.1.xlsx#Layer descriptions$JO$1,
275,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8436-e#MS: Corg content max,,%,dag/kg,,"MS: Corg content max - Additions of human-transported natural material",,http://w3id.org/glosis/model/layerhorizon/CarbonOrganicValue,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8436-e#MS: Corg content max,
276,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8436-e#MS: Corg content min,,%,dag/kg,,"MS: Corg content min - Additions of human-transported natural material",,http://w3id.org/glosis/model/layerhorizon/CarbonOrganicValue,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#sec-a1-8436-e#MS: Corg content min,
277,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1838#Clay,,%,dag/kg,,"Sand [%] - Soil texture",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1838,http://w3id.org/glosis/model/layerhorizon/SandFractionTextureValue,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1838#Clay,
278,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1838#Sand,,%,dag/kg,,"Clay [%] - Soil texture",https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1838,http://w3id.org/glosis/model/layerhorizon/ClayFractionTextureValue,https://obrl-soil.github.io/wrbsoil2022/annex-01-field-guide.html#tbl-a1838#Sand,
